[1;34m[src/utils/log.c:13 init_log] Log is written to /home/xuhao/learngit/ysyx-workbench/nanos-lite/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:43 init_mem] physical memory area [0x80000000, 0x88000000][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:47 load_img] The image is /home/xuhao/learngit/ysyx-workbench/nanos-lite/build/nanos-lite-riscv64-nemu.bin, size = 745500[0m
[1;34m[src/cpu/difftest/dut.c:69 init_difftest] Differential testing: [1;32mON[0m[0m
[1;34m[src/cpu/difftest/dut.c:70 init_difftest] The result of every instruction will be compared with /home/xuhao/learngit/ysyx-workbench/nemu/tools/spike-diff/build/riscv64-spike-so. This will help you a lot for debugging, but also significantly reduce the performance. If it is not necessary, you can turn it off in menuconfig.[0m
[1;34m[src/monitor/monitor.c:14 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:15 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:18 welcome] Build time: 19:11:51, Oct  8 2022[0m
0x0000000080000000: 13 04 00 00 mv	s0, zero
0x00000000800013e4: 13 09 49 dc addi	s2, s2, -572
0x00000000800013e8: 93 0b 90 00 addi	s7, zero, 9
0x00000000800013ec: 17 2a 00 00 auipc	s4, 2
0x00000000800013f0: 13 0a 4a da addi	s4, s4, -604
0x00000000800013f4: 93 0a a0 00 addi	s5, zero, 10
0x00000000800013f8: 13 0c 30 06 addi	s8, zero, 99
0x00000000800013fc: 13 0b f0 00 addi	s6, zero, 15
0x0000000080001400: 1b 8d 1c 00 addiw	s10, s9, 1
0x0000000080001404: 63 16 95 1a bne	a0, s1, 0x800015b0
0x0000000080001408: 33 0d a4 01 add	s10, s0, s10
0x000000008000140c: 83 47 0d 00 lbu	a5, 0(s10)
0x0000000080001410: 9b 87 d7 f9 addiw	a5, a5, -99
0x0000000080001414: 93 f7 f7 0f andi	a5, a5, 255
0x0000000080001418: 63 ee f9 06 bltu	s3, a5, 0x80001494
0x000000008000141c: 93 97 27 00 slli	a5, a5, 2
0x0000000080001420: b3 87 27 01 add	a5, a5, s2
0x0000000080001424: 83 a7 07 00 lw	a5, 0(a5)
0x0000000080001428: b3 87 27 01 add	a5, a5, s2
0x000000008000142c: 67 80 07 00 jr	a5
0x0000000080001538: 83 37 81 01 ld	a5, 24(sp)
0x000000008000153c: 03 bd 07 00 ld	s10, 0(a5)
0x0000000080001540: 93 87 87 00 addi	a5, a5, 8
0x0000000080001544: 23 3c f1 00 sd	a5, 24(sp)
0x0000000080001548: 03 45 0d 00 lbu	a0, 0(s10)
0x000000008000154c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001550: e3 02 05 f4 beqz	a0, 0x80001494
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
0x0000000080001554: ef f0 0f f1 jal	0x80000c64
0x0000000080000c64: 93 07 50 00 addi	a5, zero, 5
0x0000000080000c68: 93 97 d7 01 slli	a5, a5, 29
0x0000000080000c6c: 23 8c a7 3e sb	a0, 1016(a5)
0x0000000080000c70: 67 80 00 00 ret
0x0000000080001558: 83 a7 0d 00 lw	a5, 0(s11)
0x000000008000155c: 13 0d 1d 00 addi	s10, s10, 1
0x0000000080001560: 9b 87 17 00 addiw	a5, a5, 1
0x0000000080001564: 23 a0 fd 00 sw	a5, 0(s11)
0x0000000080001568: 03 45 fd ff lbu	a0, -1(s10)
0x000000008000156c: e3 14 05 fe bnez	a0, 0x80001554
